fid,ISO3_CODE,COUNTRY_NA,AREA,Classified_Commodity
22631,CAN,Canada,1.905341395,Nickel and Cobalt
22632,CAN,Canada,1.014078369,Nickel and Cobalt
22633,CAN,Canada,1.549880429,Nickel and Cobalt
22634,CAN,Canada,0.185006281,Gold
22635,AUS,Australia,0.117854604,Coal
22636,AUS,Australia,0.052352035,Iron
22638,AUS,Australia,0.243650355,Other non-metals
22639,AUS,Australia,0.35626683,Coal
22640,AUS,Australia,6.567636025,Coal
22642,AUS,Australia,0.227030634,Bauxite
22643,AUS,Australia,0.327532414,Coal
22645,AUS,Australia,0.417400713,Coal
22646,AUS,Australia,1.210687787,Lithium
22647,AUS,Australia,0.903961336,Coal
22648,AUS,Australia,0.104682366,Nickel and Cobalt
22649,AUS,Australia,0.073770087,Other non-metals
22650,AUS,Australia,0.298637275,Nickel and Cobalt
22651,CAN,Canada,0.288963524,Coal
22652,AUS,Australia,0.068206808,Coal
22653,AUS,Australia,0.124448041,Gold
22654,AUS,Australia,0.036140709,Ilmenite
22655,AUS,Australia,0.039688872,Ilmenite
22656,AUS,Australia,2.1331673,Iron
22657,CAN,Canada,1.897687705,Lead
22658,CAN,Canada,0.871048422,Other metals
22659,CAN,Canada,0.731735058,Gold
22660,CAN,Canada,0.212287647,Other non-metals
22661,CAN,Canada,0.152708542,Gold
22662,CAN,Canada,0.207465657,Other non-metals
22663,CAN,Canada,3.127493212,Nickel and Cobalt
22664,CAN,Canada,0.28711408,Ilmenite
22665,CAN,Canada,0.019469533,Coal
22666,CAN,Canada,0.208470761,Gold
22667,CAN,Canada,0.025795776,Lithium
22668,CAN,Canada,0.025066888,Coal
22669,CAN,Canada,0.093323157,Coal
22670,CAN,Canada,0.458819133,Other non-metals
22671,CAN,Canada,0.153728076,Other non-metals
22672,AUS,Australia,1.987903126,Nickel and Cobalt
22673,CAN,Canada,0.033535499,Iron
22677,CAN,Canada,0.051140277,Iron
22678,CAN,Canada,0.040599845,Iron
22679,CAN,Canada,0.144288582,Other non-metals
22680,CAN,Canada,0.540303807,Nickel and Cobalt
22681,CAN,Canada,1.454189215,Gold
22682,CAN,Canada,0.046470319,Lithium
22683,CAN,Canada,0.392015628,Iron
22684,CAN,Canada,0.12833567,Coal
22685,CAN,Canada,0.052952763,Iron
22686,CAN,Canada,0.157444182,Iron
22687,CAN,Canada,0.035084376,Lithium
